,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
99,500192,4.43,4.23,3.10,2.64,2.23,2.31
100,500193,16.00,20.90,15.55,5.58,5.12,7.17
101,500199,230.75,743.75,416.65,167.80,423.10,387.15
102,500201,133.95,458.95,310.05,218.55,308.80,389.90
103,500202,8.29,4.65,8.25,7.75,8.75,10.02
104,500206,9.99,13.23,12.87,7.49,8.50,7.60
105,500207,29.65,43.75,31.05,26.05,41.90,40.40
106,500209,"1,010.70","1,039.30",659.85,731.75,"1,255.85","1,311.80"
107,500210,678.55,806.25,602.85,652.25,652.40,746.05
108,500211,24.90,29.10,20.00,11.69,10.34,10.61
109,500212,29.40,40.00,29.00,22.05,23.35,24.40
110,500213,185.60,234.15,148.80,73.30,60.75,63.90
111,500214,291.40,599.70,372.40,797.20,906.60,"1,079.80"
112,500215,461.70,711.20,604.75,626.00,899.30,850.10
113,500219,88.10,125.80,69.70,7.96,19.05,22.15
114,500220,47.70,70.80,52.85,33.00,45.70,47.15
115,500223,5.26,4.20,1.96,0.89,0.92,0.89
116,500227,318.45,417.00,232.65,224.00,456.85,457.40
117,500228,"1,624.60",269.70,306.25,269.90,387.30,403.10
118,500231,72.55,81.45,59.00,41.10,64.05,66.70
119,500233,465.30,728.95,492.85,525.25,703.20,727.05
120,500234,250.95,392.65,202.90,159.60,192.90,197.25
121,500235,275.55,401.45,224.40,248.15,280.30,291.70
122,500236,4.61,3.61,NA,0.68,0.46,0.56
123,500238,897.45,"1,567.60","1,394.60","2,370.15","2,626.45","2,493.30"
124,500239,79.10,80.70,43.60,18.15,27.20,28.10
125,500240,83.10,78.95,48.00,32.10,29.15,30.20
126,500241,165.15,331.85,152.65,148.65,128.85,136.75
127,500243,824.00,"1,524.00",890.00,612.00,807.25,803.45
128,500245,66.45,112.85,88.10,63.00,140.30,145.60
129,500246,26.35,18.95,47.25,28.50,29.55,28.60
130,500247,719.05,"1,009.10","1,254.75","1,684.50","1,995.40","1,970.50"
131,500248,11.25,8.92,8.50,6.26,3.41,3.58
132,500249,628.95,886.50,779.25,675.00,646.80,636.70
133,500250,538.85,"1,061.50",427.95,262.90,304.45,296.65
134,500251,201.05,336.95,361.50,527.15,687.90,695.80
135,500252,"3,958.70","5,831.90","5,730.95","3,295.55","4,601.75","4,843.15"
136,500253,559.45,563.25,488.50,434.10,361.20,442.20
137,500257,"1,483.70",884.65,845.60,764.90,976.70,"1,038.45"
138,500259,53.45,64.30,30.10,19.65,31.25,29.00
139,500260,546.30,785.80,639.35,754.60,796.15,852.30
140,500264,279.00,300.80,129.95,63.00,116.35,117.15
141,500265,240.10,509.75,484.35,377.85,319.95,319.55
142,500266,"1,615.35","2,755.05","3,160.65","4,447.00","3,809.70","3,728.70"
143,500267,99.05,150.95,89.10,128.95,122.30,118.05
144,500268,33.05,39.25,31.85,19.30,35.95,36.70
145,500271,548.50,591.15,445.25,534.70,673.35,726.50
146,500274,NA,NA,9.80,11.20,7.40,7.70
147,500277,0.91,0.59,0.29,1.05,1.04,1.08
148,500279,13.10,57.30,27.95,7.54,12.16,14.06
149,500280,273.90,332.60,265.35,179.55,211.30,219.45
150,500284,33.00,50.10,57.60,30.10,32.15,33.15
151,500285,57.20,145.95,89.20,112.70,94.95,93.85
152,500288,20.30,37.30,22.15,15.55,30.70,30.90
153,500290,"48,781.15","72,348.15","67,088.25","66,327.75","75,712.40","80,656.60"
154,500292,109.75,153.05,152.05,174.85,226.70,235.55
155,500294,80.45,133.80,88.10,56.00,57.65,62.70
156,500295,216.30,329.75,202.35,152.50,161.45,182.05
157,500296,118.80,127.50,90.20,42.25,76.25,89.30
158,500298,839.70,"2,135.25","4,333.10","1,763.45","1,962.05","2,104.70"
159,500300,861.45,"1,164.05",826.80,743.85,927.05,"1,003.90"
160,500302,"1,621.05","2,863.95","2,381.85","1,523.50","1,429.60","1,522.75"
161,500304,80.15,102.65,86.95,93.70,202.20,205.95
162,500306,5.78,9.59,5.59,3.35,10.29,11.55
163,500307,188.90,222.45,200.00,299.10,279.00,288.15
164,500312,191.45,194.65,150.20,128.75,93.20,100.65
165,500314,22.00,41.70,44.50,33.10,25.45,25.95
166,500317,10.08,16.02,9.11,5.00,10.46,12.07
167,500319,30.30,54.65,19.95,17.00,25.10,24.15
168,500325,"1,080.10",921.05,"1,121.05","1,514.10","1,984.65","1,933.05"
169,500327,11.75,14.25,8.45,5.60,9.92,11.81
170,500330,492.15,"1,056.00",842.60,669.40,337.55,348.10
171,500331,590.10,902.55,"1,107.45","1,387.05","1,765.95","1,819.50"
172,500333,81.80,181.50,179.80,131.00,248.70,264.05
173,500335,629.90,"1,150.05",598.70,610.20,721.55,754.50
174,500336,175.15,393.65,227.35,158.80,361.50,336.90
175,500337,31.80,60.85,43.45,40.80,45.05,44.70
176,500338,77.45,112.15,88.90,62.80,88.50,88.50
177,500339,54.80,371.00,134.25,98.60,126.50,151.75
178,500343,20.55,30.00,20.35,19.20,25.50,27.00
179,500346,40.00,41.65,26.50,13.55,23.65,25.20
180,500350,445.00,383.60,224.40,88.40,138.75,166.70
181,500354,57.75,56.20,22.75,19.20,15.25,17.20
182,500355,191.90,264.65,178.80,168.30,280.95,303.10
183,500356,34.60,29.25,29.40,13.94,16.22,15.60
184,500357,22.30,11.51,23.25,11.90,10.50,14.03
185,500358,6.35,4.18,8.45,6.52,4.03,3.65
186,500360,63.60,85.30,55.40,37.30,28.95,29.00
187,500365,6.85,6.64,18.60,9.71,11.74,11.90
188,500366,60.50,59.75,8.44,4.33,5.70,6.47
189,500367,37.45,86.90,45.15,32.40,59.40,62.30
190,500368,19.00,18.60,9.04,3.32,674.75,665.90
191,500370,55.00,58.65,24.95,11.69,24.75,28.50
192,500378,55.20,140.00,84.70,73.10,75.85,82.30
193,500380,348.75,441.05,294.50,279.40,340.35,353.70
194,500387,"14,724.70","18,038.70","17,212.45","20,357.45","24,018.80","25,810.40"
195,500388,18.14,35.75,26.00,27.00,13.80,12.92
196,500390,467.05,553.75,315.75,29.40,26.85,29.35
197,500400,75.70,93.85,76.75,56.50,75.65,83.05
198,500402,55.50,153.75,39.60,11.95,14.94,15.83
199,500403,290.85,583.80,537.25,500.85,520.35,557.20
200,500404,32.40,78.80,58.90,37.90,60.15,68.10
201,500405,197.90,380.30,207.10,156.00,358.45,365.35
202,500407,"1,304.55","2,052.45","1,524.50","1,120.05","1,432.25","1,425.50"
203,500408,"1,402.55",976.65,"1,020.70",825.60,"1,832.85","2,041.85"
204,500410,"1,328.40","1,757.90","1,504.80","1,444.65","1,618.40","1,760.90"
205,500411,745.70,"1,211.25","1,112.40","1,085.55",908.45,976.95
206,500412,765.60,"2,195.30",111.40,71.55,100.30,96.00
207,500413,187.70,256.20,233.45,63.75,47.10,47.90
208,500414,50.05,44.75,55.45,32.50,26.65,28.15
209,500418,96.40,130.75,48.65,69.60,72.00,71.90
210,500420,"1,315.50","1,416.65","1,771.25","1,846.95","2,800.70","2,850.95"
211,500422,16.55,31.55,23.20,13.60,20.48,21.05
212,500425,206.20,271.20,224.40,196.30,248.85,269.85
213,500426,4.49,6.32,14.20,8.50,10.24,12.12
214,500429,62.10,92.30,98.10,72.00,69.00,72.10
215,500439,"1,845.00","5,059.20","2,253.00","1,323.00","1,446.05","1,493.00"
216,500440,155.05,273.70,226.10,216.10,240.50,268.15
217,500444,131.95,318.70,309.45,217.90,178.60,186.65
218,500449,18.45,35.40,28.40,15.20,19.23,25.95
219,500450,41.35,181.00,284.95,161.40,234.00,241.00
220,500456,24.00,28.50,20.30,8.99,14.22,14.00
221,500458,2.97,3.42,5.23,4.52,2.88,2.80
222,500459,"7,076.60","9,380.95","9,852.40","11,461.35","11,073.75","11,266.15"
223,500460,62.50,88.65,60.90,29.80,65.95,71.50
224,500463,89.80,128.85,74.15,145.65,741.95,755.00
225,500464,163.85,307.25,177.70,133.50,123.75,131.60
226,500467,68.65,98.15,85.70,57.85,117.95,131.75
227,500469,66.90,108.80,93.15,88.05,66.70,75.75
228,500470,391.10,732.45,521.85,472.00,643.55,713.00
229,500472,"1,263.65","1,921.70","1,914.30","2,166.60","1,704.55","1,836.95"
230,500477,80.10,119.25,102.55,81.50,95.45,112.75
231,500480,816.75,902.80,848.75,550.15,574.30,635.00
232,500483,627.85,681.25,523.55,396.15,"1,100.20","1,060.60"
233,500488,"4,700.35","5,509.20","7,519.25","13,073.05","15,760.70","15,495.50"
234,500490,"1,827.60","2,882.75","2,950.05","3,410.75","3,079.50","3,131.00"
235,500493,906.20,731.90,508.35,483.35,525.00,603.20
236,500495,296.45,787.20,706.20,629.50,"1,259.65","1,349.35"
237,500500,6.91,9.64,7.75,5.72,7.60,9.46
238,500510,"1,349.40","1,256.95","1,438.50","1,298.95","1,287.55","1,373.20"
239,500520,"1,184.45",751.05,803.70,531.45,720.60,770.50
240,500530,"20,999.40","20,103.05","19,622.95","15,391.30","12,788.40","13,862.30"
241,500540,29.35,33.55,7.70,2.30,4.39,5.84
242,500547,634.55,518.70,362.75,491.50,380.95,400.35
243,500550,"1,112.80","1,236.80","1,047.15","1,496.85","1,576.35","1,652.75"
244,500570,471.35,431.20,172.60,185.10,183.70,198.10
245,500575,328.25,655.70,552.45,659.30,826.00,903.50
246,500620,362.75,399.05,317.20,298.75,263.40,278.00
247,500645,206.80,425.90,148.55,97.25,157.25,165.95
248,500650,346.25,629.25,"1,490.90",870.70,848.15,902.35
249,500655,125.10,210.10,252.35,217.90,417.25,425.90
250,500660,"2,730.35","2,480.90","1,511.60","1,608.30","1,623.20","1,586.90"
251,500670,213.10,494.05,340.70,163.70,223.80,223.10
252,500672,673.85,643.15,720.30,667.60,685.15,685.00
253,500674,"4,296.80","4,714.40","6,352.70","7,015.55","8,317.85","8,206.30"
254,500680,"1,803.95","2,060.90","2,847.55","4,224.15","5,107.70","5,130.05"
255,500690,97.90,156.10,116.15,70.00,72.35,84.50
256,500696,826.30,"1,368.10","1,818.05","1,923.25","2,393.55","2,390.35"
257,500710,"1,411.15","1,835.60","1,741.65","1,967.80","2,413.80","2,402.80"
258,500730,67.30,181.95,165.55,101.50,143.55,155.00
259,500770,501.60,730.85,708.45,667.00,477.25,499.75
260,500777,23.40,71.75,38.50,36.60,42.75,44.45
261,500780,95.10,250.60,113.10,50.05,72.30,123.15
262,500790,"6,029.80","7,845.00","11,107.25","14,789.95","18,392.35","18,295.45"
263,500800,122.05,315.55,219.40,321.05,589.65,609.55
264,500820,891.35,"1,157.90","1,373.70","1,786.85","2,764.45","2,844.00"
265,500825,"2,882.20","4,715.75","3,118.40","3,027.25","3,575.10","3,574.90"
266,500830,905.60,"1,095.60","1,341.60","1,460.50","1,565.45","1,613.85"
267,500840,95.00,145.80,197.00,142.40,90.25,98.00
268,500850,98.20,118.00,147.70,145.00,120.10,123.40
269,500870,380.45,193.15,151.45,129.35,123.20,128.70
270,500875,240.95,263.10,281.65,237.65,209.00,201.55
271,500877,184.95,268.80,235.90,163.95,178.05,192.55
272,500878,"1,162.90","1,950.70","1,306.20",988.80,"1,079.35","1,199.80"
273,500890,41.20,101.85,48.45,29.25,33.75,36.25
274,500940,436.10,661.15,547.45,545.75,646.50,663.65
275,501110,NA,5.79,NA,6.07,NA,NA
276,501111,NA,NA,NA,NA,10.00,NA
277,501144,NA,NA,NA,NA,NA,12.12
278,501148,120.50,94.15,528.85,198.70,300.95,338.75
279,501150,27.95,72.60,35.65,19.60,16.85,18.80
280,501242,22.30,26.35,15.35,8.72,4.75,5.13
281,501261,NA,NA,NA,280.55,280.55,NA
282,501270,NA,NA,1.17,NA,NA,NA
283,501295,69.10,117.40,74.25,60.00,63.90,77.00
284,501298,"1,100.00","1,395.00","1,052.00",986.65,"1,069.20","1,116.80"
285,501301,558.80,889.50,890.95,807.95,999.30,"1,024.65"
286,501311,7.69,9.29,NA,4.04,6.40,NA
287,501314,NA,NA,454.30,48.10,21.61,24.15
288,501343,42.00,39.00,51.25,35.35,20.00,20.90
289,501351,NA,30.25,32.05,32.00,30.80,NA
290,501370,131.10,195.80,95.20,57.05,56.50,55.90
291,501386,NA,NA,NA,NA,NA,NA
292,501391,138.00,206.00,116.90,85.70,143.70,140.00
293,501421,170.20,253.00,170.00,191.55,130.25,127.80
294,501423,512.00,959.85,928.60,633.75,746.50,792.55
295,501425,515.00,"1,699.80","1,320.10","1,036.35","1,298.20","1,288.05"
296,501430,"1,536.00","2,801.00","1,926.10",802.75,574.40,551.65
297,501455,122.10,137.05,119.00,133.90,85.10,95.65
298,501477,74.70,73.25,63.40,24.90,46.00,53.15
299,501622,NA,NA,NA,NA,33.00,NA
300,501630,NA,NA,NA,NA,NA,NA
301,501700,44.35,47.10,65.40,40.60,21.65,21.25
302,501831,28.65,64.55,374.85,261.45,175.60,166.70
303,501833,14.90,15.60,8.36,2.49,5.13,4.78
304,501848,56.90,38.55,14.43,5.07,9.19,10.16
305,501945,3.25,2.94,2.04,1.87,0.99,1.10
306,502015,22.45,41.75,16.40,11.24,15.22,16.55
307,502090,620.70,848.40,683.25,532.90,657.30,682.85
308,502137,932.90,555.10,419.50,273.05,373.00,375.70
309,502157,269.35,353.75,224.40,282.15,233.90,259.90
310,502168,113.85,251.05,135.75,86.05,147.55,154.70
311,502175,56.50,87.20,43.40,37.90,64.80,64.10
312,502180,19.80,27.75,22.65,26.80,61.45,61.50
313,502216,NA,NA,NA,NA,NA,NA
314,502219,"6,743.05",980.10,231.95,155.20,300.40,284.00
315,502250,372.70,337.05,345.00,210.00,270.00,256.50
316,502281,25.45,24.40,10.49,5.10,8.47,9.32
317,502294,NA,NA,51.90,44.90,41.00,34.30
318,502330,295.05,319.75,444.15,287.35,215.35,212.45
319,502355,"1,101.70","1,196.55",924.20,990.90,"1,645.50","1,723.00"
320,502420,68.55,141.40,43.55,26.30,20.90,22.65
321,502445,24.30,82.10,22.00,16.10,10.40,11.12
322,502448,14.20,7.43,3.04,1.94,3.64,4.87
323,502450,690.75,896.10,"1,069.15",169.40,151.80,156.70
324,502460,NA,NA,7.44,30.00,27.50,NA
325,502563,3.50,5.75,3.70,3.88,3.54,3.50
326,502587,16.45,45.85,80.05,57.65,81.40,75.70
327,502589,7.55,37.50,7.93,35.15,32.25,NA
328,502742,75.00,27.30,11.82,0.80,4.24,5.28
329,502820,107.15,114.35,73.20,19.25,29.95,27.75
330,502850,NA,NA,15.88,16.15,16.60,16.90
331,502865,"1,912.45","4,802.00","2,370.20","1,670.00","1,573.40","1,633.60"
332,502873,38.70,41.40,37.80,27.60,36.00,39.70
333,502893,19.80,20.30,13.00,11.05,11.20,11.16
334,502901,24.95,17.30,32.00,"2,100.00","2,500.00","2,450.00"
335,502937,124.55,138.05,86.75,51.55,63.95,63.10
336,502958,"2,300.00","3,468.15","3,099.90","1,970.30","1,866.20","1,894.35"
337,502986,"1,110.40","1,367.55","1,114.50",995.15,"1,084.55","1,071.95"
338,503015,36.90,47.70,30.90,72.50,38.45,42.45
339,503031,13.50,33.55,10.80,4.06,5.93,7.35
340,503092,17.90,24.35,23.70,9.79,9.13,8.21
341,503100,365.80,621.55,562.70,831.05,775.25,791.70
342,503101,198.25,557.95,111.55,74.80,101.55,95.65
343,503127,"1,136.90",950.00,"1,415.00","1,670.00","1,563.00","1,850.00"
344,503162,68.95,92.35,70.60,64.35,74.30,75.05
345,503169,347.70,390.15,290.90,191.00,197.20,199.65
346,503229,99.75,117.90,60.30,55.00,48.00,49.35
347,503310,154.10,190.45,101.10,107.95,134.45,131.20
348,503349,"3,269.15","3,678.35","2,618.10","1,870.50","1,881.20","1,829.00"
349,503622,NA,NA,NA,NA,NA,NA
350,503624,205.00,208.00,195.10,46.90,6.00,6.75
351,503635,NA,NA,11.24,12.00,12.00,NA
352,503639,NA,NA,NA,NA,NA,NA
353,503641,NA,NA,NA,16.25,6.06,5.36
354,503657,22.75,37.55,12.11,8.43,10.72,10.26
355,503659,175.00,19.30,24.35,22.40,20.20,NA
356,503663,1.69,NA,2.51,0.69,2.75,2.80
357,503669,5.10,6.80,13.20,12.50,7.69,9.00
358,503671,NA,NA,NA,NA,NA,NA
359,503675,9.00,4.65,4.41,3.25,3.00,NA
360,503681,2.86,4.00,5.89,7.49,14.04,NA
361,503689,NA,NA,NA,NA,NA,NA
362,503691,90.00,69.00,21.05,10.78,15.20,15.95
363,503696,NA,NA,NA,NA,NA,NA
364,503722,147.35,145.95,80.10,107.65,127.25,136.10
365,503772,6.56,4.40,10.46,11.86,10.12,10.62
366,503776,28.65,37.95,19.95,15.88,38.00,36.10
367,503804,126.20,220.90,135.40,104.15,219.45,228.30
368,503806,"1,542.20","1,984.10","1,998.55","3,435.85","5,571.80","5,893.50"
369,503811,"1,285.15",742.65,351.75,232.10,195.30,204.95
370,503816,17.70,11.07,12.69,49.95,4.06,5.01
371,503837,11.94,17.55,8.61,2.15,3.09,3.40
372,503863,4.50,6.32,5.99,4.41,4.22,4.01
373,503893,NA,NA,NA,NA,NA,NA
374,503960,758.40,"1,283.40","1,156.15",818.30,872.30,932.55
375,504000,43.90,63.10,50.30,43.40,40.30,43.70
376,504008,27.05,20.10,7.38,0.73,2.07,2.74
377,504028,37.90,54.00,31.25,31.60,35.00,37.50
378,504036,85.95,132.70,116.50,209.00,151.85,167.00
379,504058,990.00,893.35,715.65,532.55,714.75,694.25
380,504067,954.50,888.55,233.35,174.95,237.25,238.10
381,504076,36.40,50.00,17.00,5.22,14.18,13.68
382,504080,161.50,99.30,90.30,78.55,89.50,86.00
383,504084,"3,824.00","8,721.05","3,615.00","3,302.00","2,862.10","2,798.90"
384,504092,20.00,30.45,14.80,6.20,21.25,27.95
385,504093,284.00,349.20,219.75,140.75,240.45,258.10
386,504112,77.75,122.60,250.30,240.90,196.15,205.65
387,504132,29.35,110.30,177.75,94.50,146.85,164.25
388,504176,204.00,384.45,295.00,239.90,633.05,685.80
389,504180,7.29,7.43,8.25,2.22,10.05,13.45
390,504212,68.95,179.05,278.95,160.25,148.15,155.25
391,504220,9.25,7.93,2.88,0.83,3.72,3.99
392,504240,18.80,29.60,16.15,47.80,31.50,37.80
393,504258,446.00,782.00,565.00,316.00,293.30,319.15
394,504273,NA,50.50,26.15,23.45,8.01,8.25
395,504286,34.50,56.20,83.75,41.40,27.15,27.90
396,504335,NA,NA,1.27,0.48,0.22,0.24
397,504340,0.65,0.55,0.80,0.57,4.74,4.98
398,504341,44.75,42.00,43.00,31.00,37.80,37.05
399,504346,NA,NA,NA,NA,NA,NA
400,504356,20.30,22.40,10.00,NA,10.00,NA
401,504360,NA,NA,NA,NA,17.00,NA
402,504365,3.40,NA,NA,NA,NA,NA
403,504375,NA,110.00,NA,NA,109.00,NA
404,504378,8.29,1.90,1.17,0.95,0.97,1.27
405,504380,0.25,0.29,0.34,0.36,1.92,2.13
406,504390,NA,NA,NA,NA,6.42,NA
407,504392,591.70,169.00,4.08,14.00,12.16,10.94
408,504397,NA,NA,NA,NA,NA,NA
409,504398,32.55,14.75,14.70,12.62,12.00,NA
410,504605,330.00,405.00,477.00,519.20,425.10,428.95
411,504614,219.95,500.90,266.30,221.70,335.50,375.25
412,504646,74.40,123.85,130.00,85.00,129.40,131.00
413,504648,NA,NA,NA,NA,1.89,1.98
414,504673,2.11,1.52,3.34,2.30,1.84,2.44
415,504697,8.84,5.98,2.76,0.62,1.22,1.34
416,504717,NA,NA,NA,NA,NA,NA
