,Security Code,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
2589,532723,7.49,7.98,7.30,9.60,10.20,13.75,14.00
2590,532725,"1,014.95","1,115.30","1,035.95","1,011.65","1,044.15","1,092.35","1,127.80"
2591,532726,30.25,31.80,31.85,32.10,34.70,39.05,44.60
2592,532728,27.45,27.90,25.30,23.75,24.60,30.40,29.50
2593,532729,73.05,85.60,81.60,83.25,95.25,100.05,103.55
2594,532730,8.22,9.36,8.11,7.10,6.51,8.33,9.31
2595,532731,1.15,1.20,1.09,0.74,0.79,1.48,1.90
2596,532732,697.55,786.00,740.00,725.50,765.20,829.75,957.85
2597,532733,386.75,451.00,465.60,421.75,439.90,481.00,521.50
2598,532734,170.00,301.85,298.85,351.60,418.25,475.65,538.80
2599,532735,95.70,104.05,110.95,112.60,117.30,120.75,123.05
2600,532737,43.25,55.45,57.00,62.60,69.95,79.60,69.80
2601,532738,1.59,1.38,1.40,1.15,0.98,1.91,2.66
2602,532740,22.10,22.20,20.40,19.60,24.65,34.05,41.80
2603,532741,70.00,76.70,67.55,73.15,75.75,113.60,124.50
2604,532742,"3,537.25","3,673.55","3,958.85","3,553.80","3,424.50","3,760.70","3,815.05"
2605,532744,5.32,5.60,5.00,5.50,5.55,6.90,7.79
2606,532745,21.75,25.55,27.00,27.50,35.00,36.85,39.00
2607,532746,0.75,0.87,1.00,1.52,1.26,1.32,1.25
2608,532748,25.00,37.40,41.80,40.05,37.65,52.45,49.35
2609,532749,93.25,116.15,124.15,117.90,126.65,133.75,134.50
2610,532751,3.00,3.21,3.07,2.65,1.91,2.76,3.00
2611,532754,21.70,23.55,23.10,23.45,26.80,26.45,26.85
2612,532755,682.00,741.20,791.70,813.70,876.15,973.05,"1,077.65"
2613,532756,108.65,130.70,134.75,137.45,159.85,171.80,169.25
2614,532757,"1,029.80","1,181.20",980.35,984.45,"1,173.05","1,246.85","1,254.95"
2615,532759,9.23,8.57,6.70,6.99,7.50,8.44,9.51
2616,532760,69.95,74.20,67.65,62.95,44.35,43.30,45.00
2617,532761,34.75,44.40,33.55,29.70,30.85,39.55,44.50
2618,532762,56.40,61.35,67.00,71.00,113.45,135.70,139.05
2619,532764,66.45,76.30,65.30,72.45,75.00,87.10,87.85
2620,532766,0.80,0.91,0.83,0.79,0.55,0.49,0.56
2621,532767,14.80,15.75,17.60,18.30,31.90,39.25,45.75
2622,532768,412.95,567.85,564.05,498.50,549.65,566.60,606.00
2623,532771,12.80,17.87,22.85,18.15,21.15,24.05,24.55
2624,532772,77.35,89.00,78.35,77.10,107.70,119.20,119.50
