,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
43,500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A,2.0,INE495A01022,Sugar,Equity,123.80,130.55,128.55,130.90,137.65,143.80,141.65
44,500101,ARVIND,ARVIND LTD.,Active,A,10.0,INE034A01011,Textiles,Equity,28.75,33.40,33.85,33.75,40.55,46.75,53.85
45,500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z,2.0,INE294A01037,Paper & Paper Products,Equity,2.42,1.52,1.26,1.19,1.17,1.33,1.21
46,500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A,2.0,INE257A01026,Heavy Electrical Equipment,Equity,35.95,38.55,29.30,28.00,32.85,35.90,39.00
47,500104,HINDPETRO*,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A,10.0,INE094A01015,Refineries/ Petro-Products,Equity,215.00,201.70,180.20,187.70,209.00,217.90,224.10
48,500106,IFCI,IFCI LTD.,Active,A,10.0,INE039A01010,Financial Institutions,Equity,6.21,6.89,6.02,5.79,6.45,9.15,10.16
49,500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B,10.0,INE153A01019,Telecom Services,Equity,9.27,9.13,8.34,9.46,9.52,13.83,13.71
50,500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A,10.0,INE103A01014,Refineries/ Petro-Products,Equity,36.45,31.95,25.70,28.90,29.55,35.45,40.80
51,500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A,10.0,INE178A01016,Refineries/ Petro-Products,Equity,79.60,80.25,68.85,76.95,85.40,106.65,117.05
52,500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,T,10.0,INE013A01015,Finance (including NBFCs),Equity,9.49,9.85,7.82,9.06,9.71,12.03,11.52
53,500112,SBIN,STATE BANK OF INDIA,Active,A,1.0,INE062A01020,Banks,Equity,191.45,212.15,185.40,189.25,244.30,274.75,282.35
54,500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A,10.0,INE114A01011,Iron & Steel/Interm.Products,Equity,34.05,38.55,33.75,34.35,48.45,74.10,74.75
55,500114,TITAN,Titan Company Limited,Active,A,1.0,INE280A01028,Other Apparels & Accessories,Equity,"1,043.25","1,099.20","1,200.50","1,164.90","1,357.85","1,567.50","1,563.50"
56,500116,IDBI,IDBI BANK LTD.,Active,A,10.0,INE008A01015,Banks,Equity,38.70,39.35,34.75,36.45,38.10,31.10,31.15
57,500117,DCW,DCW LTD.,Active,B,2.0,INE500A01029,Petrochemicals,Equity,10.94,13.83,15.10,15.00,16.90,19.29,18.65
58,500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A,10.0,INE041A01016,Sugar,Equity,126.40,144.10,140.30,143.05,158.40,168.60,171.65
59,500120,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X,10.0,INE591D01014,Specialty Chemicals,Equity,361.20,475.30,419.95,399.65,363.75,332.35,382.55
60,500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,A,10.0,INE280B01018,Commodity Chemicals,Equity,"2,166.05","2,473.20","2,588.55","2,184.00","2,522.50","2,755.30","2,965.10"
61,500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A,5.0,INE089A01023,Pharmaceuticals,Equity,"4,521.90","4,257.90","5,187.05","4,887.95","4,829.60","5,204.10","5,416.60"
62,500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A,1.0,INE126A01031,Sugar,Equity,290.60,286.75,283.10,276.00,346.75,344.00,345.05
63,500126,PGHL,Procter & Gamble Health Ltd,Active,A,10.0,INE199A01012,Pharmaceuticals,Equity,"4,162.15","4,803.45","5,003.05","5,141.10","6,878.70","6,814.45","6,965.60"
64,500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B,1.0,INE086A01029,Construction & Engineering,Equity,14.25,14.87,20.45,21.45,22.80,23.05,22.40
65,500133,ESABINDIA,ESAB INDIA LTD.,Active,A,10.0,INE284A01012,Other Industrial Goods,Equity,"1,393.30","1,397.35","1,370.05","1,311.30","1,451.45","1,898.25","1,821.35"
66,500135,EPL,EPL Ltd,Active,A,2.0,INE255A01020,Containers & Packaging,Equity,234.15,270.60,241.60,248.30,260.95,251.95,271.90
67,500136,ESTER,ESTER INDUSTRIES LTD.,Active,B,5.0,INE778B01029,Containers & Packaging,Equity,56.25,65.00,73.80,121.60,127.10,117.65,123.60
68,500142,FGP,FGP LTD.,Active,X,10.0,INE512A01016,Finance (including NBFCs),Equity,0.96,1.17,1.00,1.05,0.83,0.86,1.17
69,500143,PHCAP,PH CAPITAL LTD.,Active,X,10.0,INE160F01013,Comm.Trading  & Distribution,Equity,12.35,12.70,11.60,9.50,14.58,23.49,20.35
70,500144,FINCABLES,FINOLEX CABLES LTD.,Active,A,2.0,INE235A01022,Other Elect.Equip./ Prod.,Equity,269.80,277.80,275.30,277.50,308.60,342.60,411.30
71,500147,COCKERILL,John Cockerill India Ltd-$,Active,X,10.0,INE515A01019,Industrial Machinery,Equity,534.00,725.60,798.05,772.85,716.55,787.50,847.90
72,500148,UFLEX,UFLEX LTD.,Active,A,10.0,INE516A01017,Containers & Packaging,Equity,265.05,332.20,313.50,333.85,349.45,376.30,365.65
73,500150,FOSECOIND,FOSECO INDIA LTD.,Active,B,10.0,INE519A01011,Commodity Chemicals,Equity,"1,041.60","1,245.35","1,234.00","1,161.55","1,164.45","1,311.35","1,343.05"
74,500151,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,B,10.0,INE973A01010,Cigarettes-Tobacco Products,Equity,21.10,23.50,21.00,21.50,26.55,53.15,51.75
75,500153,GANESHBE,GANESH BENZOPLAST LTD.,Active,X,1.0,INE388A01029,Commodity Chemicals,Equity,41.25,45.90,60.45,63.00,65.55,61.75,59.80
76,500155,GARDENSILK,GARDEN SILK MILLS LTD.,Active,B,10.0,INE526A01016,Textiles,Equity,12.40,10.83,10.39,8.65,9.76,13.07,9.57
77,500159,METROGLOBL,Metroglobal Limited,Active,X,10.0,INE085D01033,Paper & Paper Products,Equity,43.30,52.45,44.05,43.25,45.50,50.70,59.25
78,500160,GTL,GTL LTD.,Active,B,10.0,INE043A01012,Other Telecom Services,Equity,1.84,1.57,3.06,3.13,3.08,6.21,8.70
79,500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A,2.0,INE260B01028,Cigarettes-Tobacco Products,Equity,916.25,965.15,922.25,895.55,906.55,973.25,965.70
80,500164,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A,1.0,INE233A01035,Commodity Chemicals,Equity,353.80,439.70,411.90,366.50,405.20,422.95,433.00
