,{,Symbol,Date,Open,High,Low,Close,Adj Close,Volume,Gain or Loss,404 Not Found: No data found, symbol may be delisted,404 Not Found: Timestamp data missing.
0,"    ""finance"": {",MMM,,,,,,,,,,,
1,"        ""error"": {",MMM,,,,,,,,,,,
2,"            ""description"": ""Invalid cookie""",MMM,,,,,,,,,,,
3,        },MMM,,,,,,,,,,,
4,    },MMM,,,,,,,,,,,
5,},MMM,,,,,,,,,,,
6,,ABT,2017-01-01,38.630001,41.790001000000004,38.34,41.77,38.822121,211271100.0,156.80851273990328,,,
7,,ABT,2017-02-01,41.509997999999996,45.68,41.439999,45.080002,42.169163,165452100.0,7.92435240603303,,,
8,,ABT,2017-03-01,45.369999,45.84,44.259997999999996,44.41,41.542427,148914700.0,-1.486251043200938,,,
9,,ABT,2017-04-01,44.419998,44.610001000000004,42.310001,43.639998999999996,40.822144,135569400.0,-1.7338459806349935,,,
10,,ABT,2017-05-01,43.57,45.75,42.880001,45.66,42.972965,132880600.0,4.628783332465248,,,
11,,ABT,2017-06-01,45.52,49.59,45.470001,48.610001000000004,45.749359000000005,160419100.0,6.460799386771808,,,
12,,ABT,2017-07-01,48.73,51.130001,47.830002,49.18,46.285824,114458500.0,1.1725961495042876,,,
13,,ABT,2017-08-01,49.209998999999996,51.049999,48.049999,50.939999,48.207558,101731600.0,3.5786884912566097,,,
14,,ABT,2017-09-01,51.029999,54.799999,50.639998999999996,53.360001000000004,50.497746,125039500.0,4.750691102290763,,,
15,,ABT,2017-10-01,53.639998999999996,56.689999,53.200001,54.23,51.321075,125041700.0,1.630432877990375,,,
16,,ABT,2017-11-01,53.889998999999996,56.52,53.610001000000004,56.369999,53.607239,110451700.0,3.9461534206159015,,,
17,,ABT,2017-12-01,56.299999,57.77,54.32,57.07,54.27293,128810800.0,1.2417970772005873,,,
18,,ABT,2018-01-01,58.200001,64.599998,57.82,62.16,59.113457,156001900.0,8.918871561240575,,,
19,,ABT,2018-02-01,61.75,62.540001000000004,55.580002,60.330002,57.647526,142631600.0,-2.9440122265122204,,,
20,,ABT,2018-03-01,60.16,63.950001,58.43,59.919998,57.255756000000005,141022100.0,-0.6796021654366938,,,
21,,ABT,2018-04-01,59.82,60.150002,56.990002000000004,58.130001,55.545341,136142700.0,-2.98731151493029,,,
22,,ABT,2018-05-01,57.700001,62.720001,56.810001,61.529999,59.07717099999999,119238100.0,5.848955688130809,,,
23,,ABT,2018-06-01,61.959998999999996,63.849998,60.32,60.990002000000004,58.558701,106517500.0,-0.8776158114353172,,,
24,,ABT,2018-07-01,60.630001,65.900002,60.32,65.540001,62.927315,108829300.0,7.460237499254385,,,
25,,ABT,2018-08-01,65.349998,67.360001,63.07,66.839996,64.463966,94870900.0,1.9835138543864157,,,
26,,ABT,2018-09-01,66.739998,73.58000200000001,65.220001,73.360001,70.752197,109301400.0,9.75464600566403,,,
27,,ABT,2018-10-01,73.809998,74.150002,65.779999,68.940002,66.489319,182684600.0,-6.025080343169557,,,
28,,ABT,2018-11-01,69.089996,74.230003,67.83000200000001,74.050003,71.711311,133863300.0,7.412243765238063,,,
29,,ABT,2018-12-01,74.290001,74.91999799999999,65.440002,72.33000200000001,70.045631,144019200.0,-2.322756151677666,,,
30,,ABT,2019-01-01,70.389999,73.07,65.5,72.980003,70.67511,157850300.0,0.8986602820776762,,,
31,,ABT,2019-02-01,73.019997,78.059998,71.5,77.620003,75.517128,108040800.0,6.357906014336559,,,
32,,ABT,2019-03-01,77.989998,80.489998,75.860001,79.940002,77.77426899999999,119619800.0,2.9889189774960587,,,
