,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,404 Not Found: No data found, symbol may be delisted,404 Not Found: Timestamp data missing.
0,2017-01-01,178.830002,180.0,173.809998,174.820007,155.1922,37982900.0,MMM,,,
1,2017-02-01,175.169998,188.41000400000001,173.550003,186.350006,165.427658,38913300.0,MMM,,,
2,2017-03-01,188.080002,193.5,188.009995,191.330002,170.95463600000002,44760300.0,MMM,,,
3,2017-04-01,191.869995,197.119995,188.619995,195.830002,174.975449,34994300.0,MMM,,,
4,2017-05-01,195.5,204.470001,193.53999299999998,204.470001,182.695358,40020700.0,MMM,,,
5,2017-06-01,204.25,214.57000699999998,203.679993,208.190002,187.13018799999998,40515600.0,MMM,,,
6,2017-07-01,209.139999,213.41000400000001,197.169998,201.169998,180.820313,35520800.0,MMM,,,
7,2017-08-01,202.28999299999998,208.630005,201.330002,204.320007,183.651657,34874400.0,MMM,,,
8,2017-09-01,204.610001,214.649994,200.509995,209.899994,189.75241100000002,35746200.0,MMM,,,
9,2017-10-01,210.729996,238.899994,210.02999900000003,230.190002,208.094818,46169500.0,MMM,,,
10,2017-11-01,231.0,243.44999700000002,226.039993,243.13999900000002,219.801773,34753400.0,MMM,,,
11,2017-12-01,243.190002,244.229996,234.27999900000003,235.36999500000002,213.85102799999999,38798800.0,MMM,,,
12,2018-01-01,235.77999900000003,259.769989,232.809998,250.5,227.597733,49095800.0,MMM,,,
13,2018-02-01,247.440002,250.08999599999999,218.17999300000002,235.50999500000003,213.97821000000002,58411400.0,MMM,,,
14,2018-03-01,236.149994,243.100006,214.729996,219.520004,200.626221,55656900.0,MMM,,,
15,2018-04-01,218.05000299999998,221.690002,194.179993,194.389999,177.659119,67396900.0,MMM,,,
16,2018-05-01,194.029999,206.03999299999998,191.440002,197.229996,180.254669,64993100.0,MMM,,,
17,2018-06-01,198.75,206.78999299999998,193.639999,196.720001,181.01818799999998,52817200.0,MMM,,,
18,2018-07-01,195.46000700000002,212.77999900000003,190.570007,212.32000699999998,195.373062,51342100.0,MMM,,,
19,2018-08-01,210.979996,211.72000099999997,197.110001,210.919998,194.08476299999998,39291800.0,MMM,,,
